
### trainer/lr
step | ABL_bf16 | ABL_nvfp4 | LONG_bf16 | LONG_nvfp4
   0 | - | - | - | -
   1 | 5e-07 | 5e-07 | 5e-07 | 5e-07
   2 | 1e-06 | 1e-06 | 1e-06 | 1e-06
   3 | 1e-06 | 1e-06 | 1e-06 | 1e-06
   4 | 8.75e-07 | 8.75e-07 | 1e-06 | 1e-06
   5 | 7.5e-07 | 7.5e-07 | 1e-06 | 1e-06
   6 | 6.25e-07 | 6.25e-07 | 1e-06 | 1e-06
   7 | 5e-07 | 5e-07 | 1e-06 | 1e-06
   8 | 3.75e-07 | 3.75e-07 | 1e-06 | 1e-06
   9 | 2.5e-07 | 2.5e-07 | 1e-06 | 1e-06
  10 | 1.25e-07 | 1.25e-07 | 1e-06 | 1e-06

### rollout_reward/_mean
step | ABL_bf16 | ABL_nvfp4 | LONG_bf16 | LONG_nvfp4
   0 | - | - | - | -
   1 | 0.09375 | 0.03125 | 0.078125 | 0.03125
   2 | 0.046875 | 0.03125 | 0.046875 | 0.015625
   3 | 0.015625 | 0 | 0.015625 | 0
   4 | 0.1875 | 0.078125 | 0.09375 | 0.078125
   5 | 0.125 | 0.078125 | 0.10938 | 0.046875
   6 | 0.125 | 0.15625 | 0.17188 | 0.15625
   7 | 0.0625 | 0.015625 | 0 | 0.046875
   8 | 0.125 | 0.0625 | 0.10938 | 0.125
   9 | 0.03125 | 0.03125 | 0.046875 | 0.046875
  10 | 0.17188 | 0.15625 | 0.14062 | 0.125

### rollout_reward/group_zero_std_frac/mean
step | ABL_bf16 | ABL_nvfp4 | LONG_bf16 | LONG_nvfp4
   0 | - | - | - | -
   1 | 0.75 | 0.875 | 0.75 | 0.875
   2 | 0.875 | 0.875 | 0.75 | 0.875
   3 | 0.875 | 1 | 0.875 | 1
   4 | 0.375 | 0.5 | 0.625 | 0.625
   5 | 0.625 | 0.75 | 0.625 | 0.875
   6 | 0.5 | 0.5 | 0.375 | 0.5
   7 | 0.625 | 0.875 | 1 | 0.75
   8 | 0.625 | 0.625 | 0.5 | 0.625
   9 | 0.75 | 0.75 | 0.75 | 0.75
  10 | 0.625 | 0.625 | 0.75 | 0.625

### loss/ratio_clipped_frac
step | ABL_bf16 | ABL_nvfp4 | LONG_bf16 | LONG_nvfp4
   0 | - | - | - | -
   1 | 0.0029427 | 0.018133 | 0.003567 | 0.017933
   2 | 0.003585 | 0.022289 | 0.0039915 | 0.022883
   3 | 0.0039239 | 0.025004 | 0.0037355 | 0.024839
   4 | 0.002537 | 0.017772 | 0.0028292 | 0.017478
   5 | 0.0033389 | 0.02137 | 0.0034504 | 0.021603
   6 | 0.0027773 | 0.016194 | 0.0025862 | 0.018392
   7 | 0.0034856 | 0.020409 | 0.0035128 | 0.021521
   8 | 0.0036469 | 0.022648 | 0.0040853 | 0.023132
   9 | 0.0026499 | 0.016195 | 0.0028971 | 0.016665
  10 | 0.0029054 | 0.019358 | 0.0030903 | 0.01935

### bit_wise/logprob_diff/mean
step | ABL_bf16 | ABL_nvfp4 | LONG_bf16 | LONG_nvfp4
   0 | - | - | - | -
   1 | -0.00060388 | -0.002725 | -0.00074316 | -0.0022555
   2 | -0.00089081 | -0.003012 | -0.0007122 | -0.0030385
   3 | -0.00098315 | -0.0033554 | -0.00077161 | -0.0030996
   4 | -0.00050641 | -0.0026709 | -0.00056809 | -0.0021063
   5 | -0.0007255 | -0.002775 | -0.00091616 | -0.0029365
   6 | -0.00079757 | -0.002632 | -0.00047025 | -0.0027468
   7 | -0.0006706 | -0.0029019 | -0.0006107 | -0.0026904
   8 | -0.00071038 | -0.0035353 | -0.0011688 | -0.0032033
   9 | -0.00061475 | -0.0015705 | -0.00068758 | -0.0020149
  10 | -0.00046011 | -0.0028312 | -0.00060354 | -0.0031051

### bit_wise/logprob_diff/max
step | ABL_bf16 | ABL_nvfp4 | LONG_bf16 | LONG_nvfp4
   0 | - | - | - | -
   1 | 0.57276 | 6.046 | 1.7786 | 2.2713
   2 | 0.74656 | 2.5574 | 0.95883 | 3.9201
   3 | 0.60756 | 2.1608 | 0.52678 | 3.7064
   4 | 1.694 | 1.8283 | 0.75918 | 1.2171
   5 | 1.25 | 4.4491 | 0.72733 | 1.9633
   6 | 3.75 | 6.2495 | 1.0843 | 3.7662
   7 | 0.98131 | 3.6945 | 1.3761 | 6.3637
   8 | 1.6679 | 2.6332 | 1.2844 | 2.6419
   9 | 0.62012 | 2.5507 | 1.0358 | 1.7418
  10 | 0.70213 | 3.1268 | 0.75846 | 1.8889

### trainer/grad_norm/mean
step | ABL_bf16 | ABL_nvfp4 | LONG_bf16 | LONG_nvfp4
   0 | - | - | - | -
   1 | 0.090332 | 0.07373 | 0.10889 | 0.067383
   2 | 0.062988 | 0.060059 | 0.097656 | 0.044922
   3 | 0.077637 | 0 | 0.056152 | 0
   4 | 0.15234 | 0.12988 | 0.10254 | 0.104
   5 | 0.15723 | 0.1416 | 0.15723 | 0.069824
   6 | 0.14746 | 0.13867 | 0.16504 | 0.12451
   7 | 0.13379 | 0.10791 | 0 | 0.15137
