tag,n_bf16,n_nvfp4,bf16_b1,nvfp4_b1,bf16_b2,nvfp4_b2,bf16_b3,nvfp4_b3,bf16_all,nvfp4_all,ratio_b3,reldiff_b3,bf16_shape,nvfp4_shape,bf16_trend,nvfp4_trend,bf16_std_b3,nvfp4_std_b3
advantage/_max,300,300,2.175031292140484,2.1071033507585524,2.3461124801635744,2.0630278956890105,2.2870400172472,2.2061647778749465,2.269394596517086,2.125432008107503,0.9646375932373938,-0.0353624067626062,2.175->2.346->2.287,2.107->2.063->2.206,1.0514975235121726,1.0470130841378673,0.5645786805332482,0.738560799429964
advantage/_mean,300,300,-4.3888503942213216e-18,-3.261280134836397e-18,-4.839878497975292e-18,-2.931682674400804e-18,-3.452099717193846e-18,-3.816391647148976e-18,-4.22694286979682e-18,-3.336451485462059e-18,1.105527638190955,-0.09545454545454553,-4.389e-18->-4.84e-18->-3.452e-18,-3.261e-18->-2.932e-18->-3.816e-18,0.7865612648221344,1.170212765957447,7.487477281991804e-18,5.2845041577819704e-18
advantage/_min,300,300,-1.0930762314796447,-0.726197921037674,-1.315989102125168,-0.9252945777773857,-1.7233343908190728,-0.8832301008701324,-1.3774665748079618,-0.8449075332283974,0.5125123165738876,0.4874876834261124,-1.093->-1.316->-1.723,-0.7262->-0.9253->-0.8832,1.5765912213517606,1.2162388176601677,0.7686747012372679,0.542124961646255
advantage/_std,300,300,0.5821588987112045,0.4983483868837357,0.6735449227690696,0.5057865464687348,0.7017007386684417,0.5188892251253128,0.6524681867162386,0.5076747194925944,0.7394736766416479,-0.2605263233583521,0.5822->0.6735->0.7017,0.4983->0.5058->0.5189,1.2053422875127073,1.0412178282948255,0.1229372286180348,0.1823524838195099
advantage/_sum,300,300,-2.808864252301646e-16,-2.0872192862952942e-16,-3.097522238704187e-16,-1.8762769116165145e-16,-2.2093438190040615e-16,-2.4424906541753446e-16,-2.7052434366699646e-16,-2.1353289506957178e-16,1.105527638190955,-0.09545454545454553,-2.809e-16->-3.098e-16->-2.209e-16,-2.087e-16->-1.876e-16->-2.442e-16,0.7865612648221344,1.170212765957447,4.791985460474755e-16,3.382082660980461e-16
bit_wise/logprob_diff/max,300,300,1.0445457255840302,3.5856529796123504,1.2346784263849258,3.710296597480774,1.1164092254638671,3.8722074115276337,1.1318777924776078,3.722718996206919,3.468448059374227,0.7116866152003387,1.045->1.235->1.116,3.586->3.71->3.872,1.068798807098326,1.0799169449873152,0.672516579157521,3.7167512498841484
bit_wise/logprob_diff/mean,300,300,-0.0006802429299568758,-0.0029202277876902373,-0.0006646763536264188,-0.002897817410994321,-0.0006835716913337819,-0.0029138003406114876,-0.0006761636583056922,-0.0029106151797653485,4.262611189948627,-0.7654020140617019,-0.0006802->-0.0006647->-0.0006836,-0.00292->-0.002898->-0.002914,1.0048934891203016,0.9977989911931379,0.00015567805088580815,0.0006308323679152005
bit_wise/ratio_tokens_different/mean,300,300,0.5269394022226334,0.56967365026474,0.5302338242530823,0.5722120019793511,0.5419382095336914,0.579712620973587,0.5330371453364691,0.5738660910725594,1.0697024324459397,0.06516058142128435,0.5269->0.5302->0.5419,0.5697->0.5722->0.5797,1.0284640079063987,1.0176223188560356,0.04481780569381676,0.04514861878263464
generator/decode_time_ms/max,300,300,357878.1965625,550532.5203125,375474.034375,547861.725,357442.695,587776.080625,363598.30864583334,562056.7753125,1.6443924826187872,0.3918726760369009,3.579e+05->3.755e+05->3.574e+05,5.505e+05->5.479e+05->5.878e+05,0.9987831011593244,1.0676500641440025,14560.881877946746,61806.02835937895
generator/decode_time_ms/mean,300,300,247990.91328125,378134.4909375,258332.81703125,373041.7175,250653.7628125,407852.6146875,252325.83104166668,386342.94104166667,1.627155364081215,0.38543053596811444,2.48e+05->2.583e+05->2.507e+05,3.781e+05->3.73e+05->4.079e+05,1.0107376899258806,1.0785914124795135,33446.72814469903,68580.90208046218
generator/inflight_requests_at_completion/max,300,300,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,1.0,0.0,64->64->64,64->64->64,1.0,1.0,0.0,0.0
generator/inflight_requests_at_completion/mean,300,300,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,1.0,0.0,32.5->32.5->32.5,32.5->32.5->32.5,1.0,1.0,0.0,0.0
generator/inter_token_latency_ms/max,300,300,179.31149551391601,274.43887130737306,187.73190658569337,272.93367767333984,179.67007995605468,297.06094284057616,182.23782735188803,281.47783060709634,1.6533690134341454,0.39517434288735054,179.3->187.7->179.7,274.4->272.9->297.1,1.00199978501719,1.0824302746379766,10.558566065388728,35.08001733244549
generator/inter_token_latency_ms/mean,300,300,174.8874981689453,269.2260530090332,183.22578918457032,267.76633911132814,174.6847917175293,287.2077090454102,177.5993596903483,274.73336705525713,1.6441483326713062,0.3917823713780955,174.9->183.2->174.7,269.2->267.8->287.2,0.9988409322933981,1.0667901781250482,7.674319059602884,30.700876831167328
generator/num_cached_tokens/max,300,300,253.28,253.28,258.88,258.88,249.92,249.92,254.02666666666667,254.02666666666667,1.0,0.0,253.3->258.9->249.9,253.3->258.9->249.9,0.9867340492735313,0.9867340492735313,101.23790594436454,101.23790594436454
generator/num_cached_tokens/mean,300,300,118.705,118.705,117.26,117.26,118.995,118.995,118.32,118.32,1.0,0.0,118.7->117.3->119,118.7->117.3->119,1.0024430310433428,1.0024430310433428,17.548147338109512,17.548147338109512
generator/prefill_time_ms/max,300,300,518.3897341918945,802.1204602050781,541.5636352539062,810.6766442871094,445.8976861572266,733.6380615234375,501.9503518676758,782.1450553385416,1.6453058275452717,0.3922102606954485,518.4->541.6->445.9,802.1->810.7->733.6,0.8601591751278137,0.914623299019038,851.972710085264,1100.8610021137256
generator/prefill_time_ms/mean,300,300,381.131337890625,727.7514892578125,517.4113052368164,798.6870581054687,437.7721258544922,665.9186108398437,445.4382563273112,730.7857194010417,1.5211535214582927,0.34260415803309296,381.1->517.4->437.8,727.8->798.7->665.9,1.1486122560200538,0.9150357239652945,851.9643388207023,846.0411641430791
generator/queue_time_ms/max,300,300,2.023384051322937,7.242647297382355,8.258464385271072,11.5998845410347,5.346088380813598,4.2187979531288144,5.2093122724692025,7.687109930515289,0.7891373379215952,-0.21086266207840476,2.023->8.258->5.346,7.243->11.6->4.219,2.642152080480321,0.582493911398057,6.973231169376184,6.710274554445548
generator/queue_time_ms/mean,300,300,0.8893159127235413,2.4444760632514955,3.344353017807007,4.400986708402634,2.7771620082855226,2.077379125356674,2.3369436462720237,2.9742806323369346,0.7480223044816681,-0.25197769551833193,0.8893->3.344->2.777,2.444->4.401->2.077,3.1228070571462383,0.849825922448784,3.3930194165479026,3.167524668593874
generator/time_to_first_token_ms/max,300,300,521.0578756713867,806.6500952148438,544.7082305908203,815.3368133544922,449.3102590942383,737.4566430664063,505.0254551188151,786.4811838785807,1.641308267817077,0.3907299319645848,521.1->544.7->449.3,806.7->815.3->737.5,0.8623039398748151,0.9142212310406925,859.13644343568,1106.8617264369664
generator/time_to_first_token_ms/mean,300,300,382.7519140625,732.2065103149414,523.0705368041993,805.9076843261719,443.1687359619141,670.0266171264649,449.6637289428711,736.0469372558593,1.5118995604961785,0.33858040168235926,382.8->523.1->443.2,732.2->805.9->670,1.1578485167014698,0.9150787485326629,858.8663722705021,852.2967212153383
loss/generator_logprob_nan_frac,300,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0->0->0,0->0->0,nan,nan,0.0,0.0
loss/mean,300,300,0.00709805628284812,0.008944310361985118,0.01318443864583969,0.005158860487863421,0.019243302315007895,0.007047765736933798,0.013175265747898568,0.0070503121955941125,0.3662451289058235,-0.6337548710941765,0.007098->0.01318->0.01924,0.008944->0.005159->0.007048,2.7110664593499747,0.7879607763710922,0.026023860470776018,0.015783318298308844
loss/ratio_clipped_frac,300,300,0.0033710548328235745,0.020710236616432665,0.0033118461049161853,0.020476521337404848,0.0031953850155696274,0.02051726237870753,0.0032927619844364624,0.020568006777515014,6.420904610473053,0.844258704860852,0.003371->0.003312->0.003195,0.02071->0.02048->0.02052,0.9478887689563901,0.9906821809282459,0.0005025590478340908,0.0028154980328895817
loss/ratio_mean,300,300,0.9998183995485306,0.9991573077440262,0.9998332107067108,0.9991404289007186,0.9998080879449844,0.9991278278827668,0.9998198994000753,0.9991418548425038,0.9993196093626169,-0.000680390637383097,0.9998->0.9998->0.9998,0.9992->0.9991->0.9991,0.9999896865235218,0.9999704952753375,0.00013550279660374254,0.0004219325295125002
perf/trainer/step_time_ratio/batch,300,300,0.9447525513172149,0.938625356554985,0.9458487671613693,0.939294456243515,0.9403094357252121,0.9401448404788971,0.9436369180679322,0.9393548844257991,0.9998249562962346,-0.0001750437037654676,0.9448->0.9458->0.9403,0.9386->0.9393->0.9401,0.9952970589115552,1.0016188396289325,0.010604351763864997,0.011383603396022112
perf/trainer/step_time_ratio/blocking_generator_pull_model_state_dict,300,300,2.1508259013813813e-08,1.5902482859431187e-08,2.1262654028575413e-08,1.4283240998835823e-08,3.0283751613069396e-08,1.7210692098146295e-08,2.4351554885152873e-08,1.5798805318804436e-08,0.5683143990230975,-0.43168560097690245,2.151e-08->2.126e-08->3.028e-08,1.59e-08->1.428e-08->1.721e-08,1.4080057150892347,1.0822644646297641,1.19810282711717e-08,6.194376563449184e-09
