tag,bf16_201-300,nvfp4_201-300,ratio_nvfp4_over_bf16,bf16_b1->b2->b3,nvfp4_b1->b2->b3,classification,note
advantage/_min,-1.7233343908190728,-0.8832301008701324,0.5125123165738876,-1.093->-1.316->-1.723,-0.7262->-0.9253->-0.8832,CONSEQUENCE,"same mechanism as advantage/_std (most-negative advantage occurs in groups with 1 wrong of many right, which NVFP4 rarely produces)"
advantage/_std,0.7017007386684417,0.5188892251253128,0.7394736766416479,0.5822->0.6735->0.7017,0.4983->0.5058->0.5189,CONSEQUENCE,std-normalised advantages are 0 on zero-std groups; fewer signal groups -> lower batch advantage std
bit_wise/logprob_diff/max,1.1164092254638671,3.8722074115276337,3.468448059374227,1.045->1.235->1.116,3.586->3.71->3.872,"CANDIDATE CAUSE (present from step 1, flat)","per-step worst token 3.7 vs 1.1 nats; peaks 36.0 (step 249), 15.1 (202); uncorrelated with reward (r=-0.005..0.04)"
bit_wise/logprob_diff/mean,-0.0006835716913337819,-0.0029138003406114876,4.262611189948627,-0.0006802->-0.0006647->-0.0006836,-0.00292->-0.002898->-0.002914,"CANDIDATE CAUSE (present from step 1, flat)",trainer-vs-generator k1 KL estimate -0.0029 vs -0.0007 nats/token; slope ~0 in both runs; NOT correlated with per-step reward within NVFP4 (r=-0.005)
generator/decode_time_ms/max,357442.695,587776.080625,1.6443924826187872,3.579e+05->3.755e+05->3.574e+05,5.505e+05->5.479e+05->5.878e+05,UNRELATED (perf),
generator/decode_time_ms/mean,250653.7628125,407852.6146875,1.627155364081215,2.48e+05->2.583e+05->2.507e+05,3.781e+05->3.73e+05->4.079e+05,UNRELATED to reward (perf),NVFP4 rollout kernels 1.63x slower; same tokens generated
generator/inter_token_latency_ms/max,179.67007995605468,297.06094284057616,1.6533690134341454,179.3->187.7->179.7,274.4->272.9->297.1,UNRELATED (perf),
generator/inter_token_latency_ms/mean,174.6847917175293,287.2077090454102,1.6441483326713062,174.9->183.2->174.7,269.2->267.8->287.2,UNRELATED (perf),1.64x
generator/prefill_time_ms/max,445.8976861572266,733.6380615234375,1.6453058275452717,518.4->541.6->445.9,802.1->810.7->733.6,UNRELATED (perf),
generator/prefill_time_ms/mean,437.7721258544922,665.9186108398437,1.5211535214582927,381.1->517.4->437.8,727.8->798.7->665.9,UNRELATED (perf),1.52x
