step,bf16|advantage/_max,bf16|advantage/_mean,bf16|advantage/_min,bf16|advantage/_std,bf16|advantage/_sum,bf16|bit_wise/logprob_diff/max,bf16|bit_wise/logprob_diff/mean,bf16|bit_wise/ratio_tokens_different/mean,bf16|generator/decode_time_ms/max,bf16|generator/decode_time_ms/mean,bf16|generator/inflight_requests_at_completion/max,bf16|generator/inflight_requests_at_completion/mean,bf16|generator/inter_token_latency_ms/max,bf16|generator/inter_token_latency_ms/mean,bf16|generator/num_cached_tokens/max,bf16|generator/num_cached_tokens/mean,bf16|generator/prefill_time_ms/max,bf16|generator/prefill_time_ms/mean,bf16|generator/queue_time_ms/max,bf16|generator/queue_time_ms/mean,bf16|generator/time_to_first_token_ms/max,bf16|generator/time_to_first_token_ms/mean,bf16|loss/generator_logprob_nan_frac,bf16|loss/mean,bf16|loss/ratio_clipped_frac,bf16|loss/ratio_mean,bf16|perf/trainer/step_time_ratio/batch,bf16|perf/trainer/step_time_ratio/blocking_generator_pull_model_state_dict,bf16|perf/trainer/step_time_ratio/blocking_trainer_push_model_state_dict,bf16|perf/trainer/step_time_ratio/fwd_bwd,bf16|perf/trainer/step_time_ratio/unaccounted,bf16|perf/trainer/tokens_per_second_full_step,bf16|perf/trainer/tokens_per_second_fwd_bwd,bf16|rollout/branches_per_rollout/max,bf16|rollout/branches_per_rollout/mean,bf16|rollout/max_policy_version/max,bf16|rollout/min_policy_version/min,bf16|rollout/num_turns/max,bf16|rollout/num_turns/mean,bf16|rollout/output_tokens/max,bf16|rollout/output_tokens/mean,bf16|rollout/output_tokens/std,bf16|rollout/prompt_length/max,bf16|rollout/prompt_length/mean,bf16|rollout/response_length/max,bf16|rollout/response_length/mean,bf16|rollout/total_length/max,bf16|rollout/total_length/mean,bf16|rollout/truncation_rate/mean,bf16|rollout_buffer/active_slots_in_use_peak,bf16|rollout_buffer/available_active_slots,bf16|rollout_buffer/num_groups_finalized,bf16|rollout_buffer/num_groups_inflight,bf16|rollout_buffer/num_groups_waiting,bf16|rollout_reward/_max,bf16|rollout_reward/_mean,bf16|rollout_reward/_min,bf16|rollout_reward/_std,bf16|rollout_reward/_sum,bf16|rollout_reward/component/RewardMathVerify/mean,bf16|rollout_reward/group_zero_std_frac/mean,bf16|timing/step/blocking_generator_pull_model_state_dict/mean,bf16|timing/step/blocking_trainer_push_model_state_dict/mean,bf16|timing/step/forward_backward/mean,bf16|timing/step/optim/mean,bf16|timing/step/total/mean,bf16|timing/step/wait_for_training_batch/mean,bf16|timing/weight_sync/generator_pull_model_state_dict,bf16|timing/weight_sync/trainer_push_model_state_dict,bf16|train_batch/num_metric_only_groups,bf16|train_batch/num_microbatches,bf16|train_batch/num_rollout_groups,bf16|train_batch/num_training_samples,bf16|train_batch/padding_frac,bf16|train_batch/policy_age/mean,bf16|train_batch/policy_age_max,bf16|trainer/entropy/mean,bf16|trainer/grad_norm/mean,bf16|trainer/lr,bf16|trainer/policy_version,bf16|training_sample_builder/num_training_samples/sum,nvfp4|advantage/_max,nvfp4|advantage/_mean,nvfp4|advantage/_min,nvfp4|advantage/_std,nvfp4|advantage/_sum,nvfp4|bit_wise/logprob_diff/max,nvfp4|bit_wise/logprob_diff/mean,nvfp4|bit_wise/ratio_tokens_different/mean,nvfp4|generator/decode_time_ms/max,nvfp4|generator/decode_time_ms/mean,nvfp4|generator/inflight_requests_at_completion/max,nvfp4|generator/inflight_requests_at_completion/mean,nvfp4|generator/inter_token_latency_ms/max,nvfp4|generator/inter_token_latency_ms/mean,nvfp4|generator/num_cached_tokens/max,nvfp4|generator/num_cached_tokens/mean,nvfp4|generator/prefill_time_ms/max,nvfp4|generator/prefill_time_ms/mean,nvfp4|generator/queue_time_ms/max,nvfp4|generator/queue_time_ms/mean,nvfp4|generator/time_to_first_token_ms/max,nvfp4|generator/time_to_first_token_ms/mean,nvfp4|loss/generator_logprob_nan_frac,nvfp4|loss/mean,nvfp4|loss/ratio_clipped_frac,nvfp4|loss/ratio_mean,nvfp4|perf/trainer/step_time_ratio/batch,nvfp4|perf/trainer/step_time_ratio/blocking_generator_pull_model_state_dict,nvfp4|perf/trainer/step_time_ratio/blocking_trainer_push_model_state_dict,nvfp4|perf/trainer/step_time_ratio/fwd_bwd,nvfp4|perf/trainer/step_time_ratio/unaccounted,nvfp4|perf/trainer/tokens_per_second_full_step,nvfp4|perf/trainer/tokens_per_second_fwd_bwd,nvfp4|rollout/branches_per_rollout/max,nvfp4|rollout/branches_per_rollout/mean,nvfp4|rollout/max_policy_version/max,nvfp4|rollout/min_policy_version/min,nvfp4|rollout/num_turns/max,nvfp4|rollout/num_turns/mean,nvfp4|rollout/output_tokens/max,nvfp4|rollout/output_tokens/mean,nvfp4|rollout/output_tokens/std,nvfp4|rollout/prompt_length/max,nvfp4|rollout/prompt_length/mean,nvfp4|rollout/response_length/max,nvfp4|rollout/response_length/mean,nvfp4|rollout/total_length/max,nvfp4|rollout/total_length/mean,nvfp4|rollout/truncation_rate/mean,nvfp4|rollout_buffer/active_slots_in_use_peak,nvfp4|rollout_buffer/available_active_slots,nvfp4|rollout_buffer/num_groups_finalized,nvfp4|rollout_buffer/num_groups_inflight,nvfp4|rollout_buffer/num_groups_waiting,nvfp4|rollout_reward/_max,nvfp4|rollout_reward/_mean,nvfp4|rollout_reward/_min,nvfp4|rollout_reward/_std,nvfp4|rollout_reward/_sum,nvfp4|rollout_reward/component/RewardMathVerify/mean,nvfp4|rollout_reward/group_zero_std_frac/mean,nvfp4|timing/step/blocking_generator_pull_model_state_dict/mean,nvfp4|timing/step/blocking_trainer_push_model_state_dict/mean,nvfp4|timing/step/forward_backward/mean,nvfp4|timing/step/optim/mean,nvfp4|timing/step/total/mean,nvfp4|timing/step/wait_for_training_batch/mean,nvfp4|timing/weight_sync/generator_pull_model_state_dict,nvfp4|timing/weight_sync/trainer_push_model_state_dict,nvfp4|train_batch/num_metric_only_groups,nvfp4|train_batch/num_microbatches,nvfp4|train_batch/num_rollout_groups,nvfp4|train_batch/num_training_samples,nvfp4|train_batch/padding_frac,nvfp4|train_batch/policy_age/mean,nvfp4|train_batch/policy_age_max,nvfp4|trainer/entropy/mean,nvfp4|trainer/grad_norm/mean,nvfp4|trainer/lr,nvfp4|trainer/policy_version,nvfp4|training_sample_builder/num_training_samples/sum
1,2.6457433700561523,0.0,-0.9999979734420776,0.4999987483024597,0.0,1.7786030769348145,-0.0007431612466461957,0.44777023792266846,336343.34375,184866.90625,64.0,32.5,178.27447509765625,167.36585998535156,192.0,122.5,8479.556640625,2051.0205078125,24.5916805267334,2.195295810699463,8576.037109375,2056.938232421875,0.0,-0.0007024509832262993,0.003567047882825136,0.999744176864624,0.9302486777305603,3.366777789892694e-08,3.707480900061455e-08,0.06974882632493973,2.39968585447059e-06,179.81321716308594,2578.010498046875,1.0,1.0,0.0,0.0,1.0,1.0,2048.0,1108.234375,451.5241394042969,207.0,166.125,2048.0,1108.234375,2189.0,1274.359375,0.046875,8.0,0.0,0.0,0.0,0.0,1.0,0.078125,0.0,0.2683681845664978,5.0,0.078125,0.75,1.3280194252729416e-05,1.4624092727899551e-05,23.59380340576172,3.9184975624084473,394.4482116699219,366.9349365234375,0.0,0.0,0.0,12.0,8.0,64.0,0.170989990234375,0.0,0.0,0.21169468760490417,0.10888671875,4.999999987376214e-07,1.0,64.0,1.7320468425750732,-6.938893903907228e-18,-0.5773489475250244,0.35355257987976074,-4.440892098500626e-16,2.271303653717041,-0.002255505183711648,0.48814627528190613,562533.5625,322976.375,64.0,32.5,289.4060974121094,281.7038269042969,192.0,122.5,8528.744140625,2227.77490234375,23.055471420288086,2.241652250289917,8631.771484375,2234.06298828125,0.0,0.002282780595123768,0.01793273165822029,0.9995440244674683,0.9367817640304565,2.108290608759944e-08,2.323630532430343e-08,0.06321579962968826,2.367123215663014e-06,115.71614074707031,1830.4940185546875,1.0,1.0,0.0,0.0,1.0,1.0,2048.0,1155.359375,513.788818359375,207.0,166.125,2048.0,1155.359375,2239.0,1321.484375,0.078125,8.0,0.0,0.0,0.0,0.0,1.0,0.03125,0.0,0.17399263381958008,2.0,0.03125,0.875,1.3472046703100204e-05,1.4848075807094574e-05,36.701698303222656,3.693406343460083,639.0032958984375,598.606689453125,0.0,0.0,0.0,13.0,8.0,64.0,0.20643967390060425,0.0,0.0,0.21488668024539948,0.0673828125,4.999999987376214e-07,1.0,64.0
2,2.6457433700561523,-6.938893903907228e-18,-0.5773489475250244,0.49999865889549255,-4.440892098500626e-16,0.9588261246681213,-0.000712198787368834,0.5926588177680969,333244.0625,282647.40625,64.0,32.5,164.120849609375,162.77694702148438,288.0,130.0,339.8573913574219,332.6704406738281,1.556823968887329,0.7883047461509705,341.27520751953125,334.11151123046875,0.0,0.0190010666847229,0.003991513513028622,0.9998528361320496,0.9252119660377502,2.5040305828838427e-08,4.5880323540359313e-08,0.07478581368923187,2.164081251976313e-06,292.0971374511719,3905.782958984375,1.0,1.0,1.0,1.0,1.0,1.0,2048.0,1738.0625,469.3322448730469,301.0,171.625,2048.0,1738.0625,2349.0,1909.6875,0.546875,8.0,0.0,0.0,0.0,0.0,1.0,0.046875,0.0,0.21137107908725739,3.0,0.046875,0.75,9.535811841487885e-06,1.7472077161073685e-05,28.41575050354004,0.06407129764556885,380.8185119628906,352.33782958984375,3.3667190074920654,0.37518081068992615,0.0,24.0,8.0,64.0,0.3786824643611908,0.0,0.0,0.33986735343933105,0.09765625,9.999999974752427e-07,2.0,64.0,2.6457433700561523,0.0,-0.3779633343219757,0.35355231165885925,0.0,3.9201319217681885,-0.003038534428924322,0.64714515209198,572122.875,486564.1875,64.0,32.5,279.49334716796875,278.41796875,288.0,130.0,556.0760498046875,535.5327758789062,1.5153499841690063,0.9327085614204407,557.557373046875,537.1923217773438,0.0,0.018764983862638474,0.022883480414748192,0.9991514086723328,0.9284385442733765,1.787551440202151e-08,2.9479705787593957e-08,0.0715598315000534,1.5731303619759274e-06,172.42799377441406,2409.564208984375,1.0,1.0,1.0,1.0,1.0,1.0,2048.0,1745.9375,497.6810607910156,301.0,171.625,2048.0,1745.9375,2349.0,1917.5625,0.640625,8.0,0.0,0.0,0.0,0.0,1.0,0.015625,0.0,0.12401959300041199,1.0,0.015625,0.875,1.1584023013710976e-05,1.9103987142443657e-05,46.31102752685547,0.0625060424208641,648.03857421875,601.6640014648438,3.0267515182495117,0.34744834899902344,0.0,23.0,8.0,64.0,0.348993718624115,0.0,0.0,0.3509359359741211,0.044921875,9.999999974752427e-07,2.0,64.0
3,2.6457433700561523,0.0,-0.3779633343219757,0.35355231165885925,0.0,0.5267826318740845,-0.0007716090767644346,0.6541464924812317,334351.3125,211244.34375,64.0,32.5,165.31295776367188,163.89500427246094,160.0,106.0,342.73736572265625,334.879150390625,1.1558330059051514,0.760465145111084,343.6653747558594,336.2602844238281,0.0,0.003723578527569771,0.0037354931700974703,0.9998418092727661,0.9457237124443054,2.0286298862970398e-08,2.7883141129336764e-08,0.0542740672826767,2.1668295175913954e-06,223.15036010742188,4111.54638671875,1.0,1.0,2.0,2.0,1.0,1.0,2048.0,1292.5,645.6157836914062,168.0,139.375,2048.0,1292.5,2216.0,1431.875,0.359375,8.0,0.0,0.0,0.0,0.0,1.0,0.015625,0.0,0.12401959300041199,1.0,0.015625,0.875,7.519964128732681e-06,1.0336050763726234e-05,20.057048797607422,0.06190098077058792,370.6917724609375,350.5719909667969,3.0378565788269043,0.3483695387840271,0.0,17.0,8.0,64.0,0.3424287736415863,0.0,0.0,0.4055071473121643,0.05615234375,9.999999974752427e-07,3.0,64.0,0.0,0.0,0.0,0.0,0.0,3.706354856491089,-0.0030996433924883604,0.6755138039588928,563242.375,358048.0625,64.0,32.5,275.1550598144531,271.3331604003906,160.0,106.0,574.5576782226562,553.9008178710938,1.782228946685791,0.9421523213386536,575.9406127929688,555.5103149414062,0.0,0.0,0.024838656187057495,0.9992436766624451,0.9434221982955933,1.3164760837014455e-08,2.138611066015983e-08,0.056576017290353775,1.7397732108292985e-06,136.5618438720703,2413.776123046875,1.0,1.0,2.0,2.0,1.0,1.0,2048.0,1312.21875,657.4124755859375,168.0,139.375,2048.0,1312.21875,2216.0,1451.59375,0.359375,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.095987141132355e-06,1.3151904568076134e-05,34.73055648803711,0.062230587005615234,614.97412109375,580.1802368164062,3.0048224925994873,0.327654093503952,0.0,17.0,8.0,64.0,0.33336684107780457,0.0,0.0,0.3653351664543152,0.0,9.999999974752427e-07,3.0,64.0
4,2.6457433700561523,-8.673617379884035e-18,-0.7745950818061829,0.6123709082603455,-5.551115123125783e-16,0.7591807842254639,-0.0005680940812453628,0.503609299659729,340000.1875,275942.125,64.0,32.5,167.04556274414062,166.12030029296875,224.0,103.0,350.1290588378906,342.1035461425781,1.4660409688949585,0.8461031317710876,351.7134094238281,343.68511962890625,0.0,0.0051424335688352585,0.002829160075634718,0.9998517036437988,0.9368681311607361,2.2073685101986484e-08,3.298537620821662e-08,0.06312961131334305,2.22303242480848e-06,276.94390869140625,4386.90966796875,1.0,1.0,3.0,3.0,1.0,1.0,2048.0,1662.375,383.9880676269531,226.0,137.25,2048.0,1662.375,2274.0,1799.625,0.375,8.0,0.0,0.0,0.0,0.0,1.0,0.09375,0.0,0.2914806008338928,6.0,0.09375,0.625,8.479924872517586e-06,1.2671807780861855e-05,24.18921661376953,0.0629342794418335,384.1644287109375,359.9114074707031,3.2419931888580322,0.3431377410888672,0.0,21.0,8.0,64.0,0.330868661403656,0.0,0.0,0.24839633703231812,0.1025390625,9.999999974752427e-07,4.0,64.0,2.6457433700561523,-1.734723475976807e-18,-0.7745950818061829,0.6123707890510559,-1.1102230246251565e-16,1.2170758247375488,-0.002106316387653351,0.5555083751678467,549406.75,457546.4375,64.0,32.5,285.2251281738281,271.04034423828125,224.0,103.0,549.63037109375,537.6004638671875,2.097043037414551,0.9506661295890808,550.7385864257812,539.2196655273438,0.0,0.0015968098305165768,0.01747751794755459,0.9994848370552063,0.9183917045593262,1.1151346512860982e-08,2.1637603708768438e-08,0.08160661160945892,1.678148237260757e-06,173.31886291503906,2123.83349609375,1.0,1.0,3.0,3.0,1.0,1.0,2048.0,1694.140625,378.37811279296875,226.0,137.25,2048.0,1694.140625,2274.0,1831.390625,0.4375,8.0,0.0,0.0,0.0,0.0,1.0,0.078125,0.0,0.2683681845664978,5.0,0.078125,0.625,6.976071745157242e-06,1.3536075130105019e-05,50.99041748046875,0.06113564968109131,625.5811157226562,574.5284423828125,3.265387773513794,0.6552637219429016,0.0,21.0,8.0,64.0,0.3190511167049408,0.0,0.0,0.2508476674556732,0.10400390625,9.999999974752427e-07,4.0,64.0
5,2.6457433700561523,1.734723475976807e-18,-1.2909917831420898,0.6123707890510559,1.1102230246251565e-16,0.7273304462432861,-0.0009161566849797964,0.559783935546875,357710.25,241508.609375,64.0,32.5,176.2459259033203,173.7055206298828,208.0,110.5,347.843017578125,342.1922912597656,1.7326310873031616,0.8464915156364441,349.1828308105469,343.6784362792969,0.0,0.001321421004831791,0.0034503755159676075,0.9996339082717896,0.9437026977539062,2.181803360201684e-08,2.954683964162541e-08,0.056295134127140045,2.1425753402581904e-06,223.12637329101562,3963.5107421875,1.0,1.0,4.0,4.0,1.0,1.0,2048.0,1385.71875,672.7051391601562,217.0,144.5,2048.0,1385.71875,2265.0,1530.21875,0.359375,8.0,0.0,0.0,0.0,0.0,1.0,0.109375,0.0,0.3121091425418854,7.0,0.109375,0.625,8.672010153532028e-06,1.1743977665901184e-05,22.313377380371094,0.062239598482847214,397.4698181152344,375.0933532714844,3.2238168716430664,0.3494164049625397,0.0,19.0,8.0,64.0,0.37120938301086426,0.0,0.0,0.31226322054862976,0.1572265625,9.999999974752427e-07,5.0,64.0,1.2909917831420898,-1.734723475976807e-18,-0.7745950818061829,0.3535526692867279,-1.1102230246251565e-16,1.963329792022705,-0.002936482895165682,0.6144871711730957,552965.4375,374032.09375,64.0,32.5,285.2335510253906,273.8172912597656,208.0,110.5,539.7876586914062,532.2230834960938,1.7847570180892944,0.9948695302009583,541.3765869140625,533.9749145507812,0.0,-0.0024009631015360355,0.021603286266326904,0.9991282820701599,0.9397183656692505,1.0885157664120015e-08,5.8437805705580104e-08,0.06028003245592117,1.5181714161371929e-06,142.9967041015625,2372.206787109375,1.0,1.0,4.0,4.0,1.0,1.0,2048.0,1372.765625,678.3369140625,217.0,144.5,2048.0,1372.765625,2265.0,1517.265625,0.34375,8.0,0.0,0.0,0.0,0.0,1.0,0.046875,0.0,0.21137107908725739,3.0,0.046875,0.875,6.687827408313751e-06,3.5904115065932274e-05,36.974754333496094,0.061225857585668564,614.3987426757812,577.36181640625,3.2180967330932617,0.32907605171203613,0.0,18.0,8.0,64.0,0.3418985903263092,0.0,0.0,0.32407522201538086,0.06982421875,9.999999974752427e-07,5.0,64.0
6,2.6457433700561523,-1.214306433183765e-17,-1.2909917831420898,0.7905673980712891,-7.771561172376096e-16,1.0842726230621338,-0.0004702501173596829,0.41790226101875305,371408.46875,279492.53125,64.0,32.5,185.04981994628906,180.35072326660156,320.0,125.5,377.91851806640625,346.7252197265625,2.371124029159546,0.9922802448272705,379.34136962890625,348.3782958984375,0.0,0.005606199149042368,0.002586154267191887,0.999904990196228,0.9459341764450073,2.421761635673647e-08,2.777667873488099e-08,0.05406370759010315,2.0536253941827454e-06,238.4112548828125,4409.82080078125,1.0,1.0,5.0,5.0,1.0,1.0,2048.0,1540.65625,561.2280883789062,321.0,163.75,2048.0,1540.65625,2210.0,1704.40625,0.265625,8.0,0.0,0.0,0.0,0.0,1.0,0.171875,0.0,0.37727177143096924,11.0,0.171875,0.375,1.0015908628702164e-05,1.1487863957881927e-05,22.297182083129883,0.06245668604969978,413.5794677734375,391.21893310546875,3.14544939994812,0.34804514050483704,0.0,19.0,8.0,64.0,0.2995862364768982,0.0,0.0,0.1926695704460144,0.1650390625,9.999999974752427e-07,6.0,64.0,2.6457433700561523,-1.214306433183765e-17,-1.2909917831420898,0.7071050405502319,-7.771561172376096e-16,3.766211748123169,-0.002746844431385398,0.47292423248291016,530021.0,386585.53125,64.0,32.5,259.8959045410156,258.91180419921875,320.0,125.5,546.7822265625,531.6097412109375,1.5753819942474365,0.9152897000312805,548.6163940429688,533.3108520507812,0.0,0.040887996554374695,0.018392078578472137,0.9989974498748779,0.9341285228729248,1.1287468737464224e-08,2.376697771921954e-08,0.06586967408657074,1.7474516198490164e-06,162.18954467773438,2462.279296875,1.0,1.0,5.0,5.0,1.0,1.0,2048.0,1494.359375,583.9766845703125,321.0,163.75,2048.0,1494.359375,2234.0,1658.109375,0.328125,8.0,0.0,0.0,0.0,0.0,1.0,0.15625,0.0,0.36309218406677246,10.0,0.15625,0.5,6.655929610133171e-06,1.4014774933457375e-05,38.781673431396484,0.0599774494767189,589.6742553710938,550.83154296875,3.279106855392456,0.3368168771266937,0.0,19.0,8.0,64.0,0.31862279772758484,0.0,0.0,0.20664261281490326,0.12451171875,9.999999974752427e-07,6.0,64.0
7,0.0,0.0,0.0,0.0,0.0,1.3761296272277832,-0.0006106961518526077,0.5121626853942871,343140.375,257345.5,64.0,32.5,167.63087463378906,167.0987091064453,208.0,119.5,349.9566955566406,331.8778381347656,1.451063871383667,0.8321532607078552,351.2420654296875,333.4384460449219,0.0,0.0,0.003512761788442731,0.999904215335846,0.93829345703125,2.2332780957867726e-08,2.7212905706619495e-08,0.06170434132218361,2.1443995592562715e-06,254.59556579589844,4126.0556640625,1.0,1.0,6.0,6.0,1.0,1.0,2048.0,1539.03125,531.8273315429688,210.0,159.125,2048.0,1539.03125,2258.0,1698.15625,0.375,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.640112355351448e-06,1.0528136044740677e-05,23.81105613708496,0.06113612651824951,386.8802490234375,363.0072326660156,3.1751134395599365,0.3503122329711914,0.0,20.0,8.0,64.0,0.33704835176467896,0.0,0.0,0.2540273666381836,0.0,9.999999974752427e-07,7.0,64.0,2.6457433700561523,-6.938893903907228e-18,-0.5773489475250244,0.49999865889549255,-4.440892098500626e-16,6.363680839538574,-0.002690436551347375,0.541552722454071,564315.5625,426390.3125,64.0,32.5,277.292236328125,275.80828857421875,208.0,119.5,565.0956420898438,558.3328247070312,1.7777479887008667,0.918086588382721,566.65087890625,559.94091796875,0.0,0.006866037845611572,0.021520789712667465,0.999721348285675,0.9332312345504761,1.287131645710815e-08,2.325973547101512e-08,0.06676708161830902,1.6642144373690826e-06,156.88247680664062,2349.697998046875,1.0,1.0,6.0,6.0,1.0,1.0,2048.0,1547.921875,488.8542785644531,210.0,159.125,2048.0,1547.921875,2258.0,1707.046875,0.40625,8.0,0.0,0.0,0.0,0.0,1.0,0.046875,0.0,0.21137107908725739,3.0,0.046875,0.75,8.127884939312935e-06,1.4687888324260712e-05,42.10380935668945,0.05777909234166145,631.4727172851562,589.31005859375,3.3086295127868652,0.32853519916534424,0.0,20.0,8.0,64.0,0.33357542753219604,0.0,0.0,0.2510891258716583,0.1513671875,9.999999974752427e-07,7.0,64.0
8,2.6457433700561523,-8.673617379884035e-18,-0.7745950818061829,0.7071049213409424,-5.551115123125783e-16,1.2843501567840576,-0.0011688212398439646,0.556056559085846,347272.59375,206266.609375,64.0,32.5,171.08377075195312,169.5235595703125,224.0,122.5,355.25421142578125,333.7186279296875,1.4622008800506592,0.8111152648925781,356.6443786621094,335.22479248046875,0.0,0.008993641473352909,0.004085250664502382,0.9994179606437683,0.9562832713127136,2.3907627877406412e-08,5.6758032940251724e-08,0.04371439293026924,2.2439103304350283e-06,203.3456268310547,4651.68603515625,1.0,1.0,7.0,7.0,1.0,1.0,2048.0,1216.265625,614.9705810546875,225.0,161.25,2048.0,1216.265625,2223.0,1377.515625,0.234375,8.0,0.0,0.0,0.0,0.0,1.0,0.109375,0.0,0.3121091425418854,7.0,0.109375,0.5,9.151874110102654e-06,2.1727057173848152e-05,16.671457290649414,0.062474966049194336,382.80145263671875,366.0666198730469,2.9126908779144287,0.3547412157058716,0.0,14.0,8.0,64.0,0.2318551242351532,0.0,0.0,0.30668482184410095,0.212890625,9.999999974752427e-07,8.0,64.0,2.6457433700561523,-5.204170427930421e-18,-1.2909917831420898,0.6123709082603455,-3.3306690738754696e-16,2.64189076423645,-0.003203260712325573,0.5983549952507019,530082.3125,319947.09375,64.0,32.5,264.80584716796875,259.9978332519531,224.0,122.5,561.6554565429688,540.7501220703125,1.591670036315918,0.8919142484664917,563.6174926757812,542.4046020507812,0.0,0.03747817501425743,0.023131920024752617,0.9990399479866028,0.9462755918502808,1.6155622617475274e-08,2.7478114006385113e-08,0.05372258648276329,1.8053702888209955e-06,135.71705627441406,2526.257080078125,1.0,1.0,7.0,7.0,1.0,1.0,2048.0,1234.765625,640.9470825195312,225.0,161.25,2048.0,1234.765625,2273.0,1396.015625,0.265625,8.0,0.0,0.0,0.0,0.0,1.0,0.125,0.0,0.33071890473365784,8.0,0.125,0.625,9.407056495547295e-06,1.5999889001250267e-05,31.22113800048828,0.060319650918245316,582.277587890625,550.9950561523438,3.2236881256103516,0.3356357514858246,0.0,15.0,8.0,64.0,0.27342936396598816,0.0,0.0,0.29793646931648254,0.15625,9.999999974752427e-07,8.0,64.0
9,2.6457433700561523,-6.938893903907228e-18,-0.5773489475250244,0.49999865889549255,-4.440892098500626e-16,1.035825252532959,-0.0006875799736008048,0.4497300088405609,345204.28125,227185.609375,64.0,32.5,169.43154907226562,168.63113403320312,192.0,110.5,335.4225158691406,327.58087158203125,1.4909999370574951,0.869049072265625,337.12530517578125,329.1584167480469,0.0,0.0025873538106679916,0.0028970728162676096,0.9997290372848511,0.9451955556869507,2.0985231330428178e-08,2.9197185114071544e-08,0.05480211600661278,2.268298203489394e-06,223.6786651611328,4081.56982421875,1.0,1.0,8.0,8.0,1.0,1.0,2048.0,1348.34375,623.3681640625,200.0,143.125,2048.0,1348.34375,2248.0,1491.46875,0.359375,8.0,0.0,0.0,0.0,0.0,1.0,0.046875,0.0,0.21137107908725739,3.0,0.046875,0.75,8.095987141132355e-06,1.1264113709330559e-05,21.079734802246094,0.06262056529521942,385.7945251464844,364.6512756347656,3.2302985191345215,0.35433709621429443,0.0,18.0,8.0,64.0,0.3530951738357544,0.0,0.0,0.21236495673656464,0.07763671875,9.999999974752427e-07,9.0,64.0,2.6457433700561523,-6.938893903907228e-18,-0.5773489475250244,0.49999865889549255,-4.440892098500626e-16,1.7417689561843872,-0.002014888683333993,0.5018782615661621,542566.0,360070.625,64.0,32.5,265.0542297363281,261.4141845703125,192.0,110.5,539.2172241210938,522.3888549804688,1.6188700199127197,0.8658259510993958,540.4431762695312,523.9613647460938,0.0,-0.013117171823978424,0.016665149480104446,0.9995659589767456,0.9381378889083862,1.4394163194708653e-08,2.5030766792610848e-08,0.0618603378534317,1.7571591115483898e-06,145.2755126953125,2348.443359375,1.0,1.0,8.0,8.0,1.0,1.0,2048.0,1372.625,621.267578125,200.0,143.125,2048.0,1372.625,2248.0,1515.75,0.390625,8.0,0.0,0.0,0.0,0.0,1.0,0.046875,0.0,0.21137107908725739,3.0,0.046875,0.75,8.704140782356262e-06,1.513608731329441e-05,37.347129821777344,0.0597759410738945,604.6993408203125,567.2913208007812,3.2223284244537354,0.32960543036460876,0.0,18.0,8.0,64.0,0.3425564169883728,0.0,0.0,0.2269095480442047,0.0869140625,9.999999974752427e-07,9.0,64.0
10,1.2909917831420898,5.204170427930421e-18,-1.7320468425750732,0.49999889731407166,3.3306690738754696e-16,0.7584611177444458,-0.0006035395781509578,0.5503610372543335,351342.25,271201.78125,64.0,32.5,175.1715850830078,172.30039978027344,240.0,113.5,353.99090576171875,347.541015625,1.5007599592208862,0.8423775434494019,355.4599304199219,349.04864501953125,0.0,0.016447920352220535,0.003090302227064967,0.9998811483383179,0.9378969669342041,2.0285249036078312e-08,3.216486277324293e-08,0.06210090592503548,2.072992629109649e-06,254.9763641357422,4105.83984375,1.0,1.0,9.0,9.0,1.0,1.0,2048.0,1577.515625,530.6986083984375,241.0,151.375,2048.0,1577.515625,2289.0,1728.890625,0.453125,8.0,0.0,0.0,0.0,0.0,1.0,0.140625,0.0,0.34763431549072266,9.0,0.140625,0.75,8.032191544771194e-06,1.2736069038510323e-05,24.528005599975586,0.06160418689250946,395.9621887207031,371.3717346191406,3.3176212310791016,0.3513016700744629,0.0,21.0,8.0,64.0,0.3571835458278656,0.0,0.0,0.29602596163749695,0.10693359375,9.999999974752427e-07,10.0,64.0,1.7320468425750732,-1.3877787807814457e-17,-0.9999979734420776,0.6123710870742798,-8.881784197001252e-16,1.8889083862304688,-0.0031050837133079767,0.572937548160553,543544.6875,423664.5625,64.0,32.5,276.0953369140625,268.9833679199219,240.0,113.5,551.5637817382812,531.3593139648438,1.3749669790267944,0.7877965569496155,552.7017211914062,532.797607421875,0.0,0.05916878953576088,0.019350066781044006,0.998708963394165,0.9286478757858276,1.2296760942831497e-08,1.9819857755010162e-08,0.07135040313005447,1.6921196674957173e-06,164.40286254882812,2304.16162109375,1.0,1.0,9.0,9.0,1.0,1.0,2048.0,1584.296875,528.0430297851562,241.0,151.375,2048.0,1584.296875,2289.0,1735.671875,0.484375,8.0,0.0,0.0,0.0,0.0,1.0,0.125,0.0,0.33071890473365784,8.0,0.125,0.625,7.583992555737495e-06,1.222384162247181e-05,43.944942474365234,0.06021798774600029,616.7471923828125,572.740966796875,3.406383991241455,0.33721923828125,0.0,21.0,8.0,64.0,0.3546607494354248,0.0,0.0,0.27109494805336,0.11474609375,9.999999974752427e-07,10.0,64.0
