arm,metric,step,value
arm_bf16,loss/mean,1,0.00015638815239071846
arm_bf16,loss/mean,2,0.014230040833353996
arm_bf16,loss/mean,3,-0.011418604291975498
arm_bf16,loss/mean,4,0.03976181149482727
arm_bf16,loss/mean,5,0.0012848693877458572
arm_bf16,loss/mean,6,0.02542036771774292
arm_bf16,loss/mean,7,0.005714921746402979
arm_bf16,loss/mean,8,0.00030626310035586357
arm_bf16,loss/mean,9,0.010521871969103813
arm_bf16,loss/mean,10,0.025452788919210434
arm_bf16,trainer/grad_norm/mean,1,0.09033203125
arm_bf16,trainer/grad_norm/mean,2,0.06298828125
arm_bf16,trainer/grad_norm/mean,3,0.07763671875
arm_bf16,trainer/grad_norm/mean,4,0.15234375
arm_bf16,trainer/grad_norm/mean,5,0.1572265625
arm_bf16,trainer/grad_norm/mean,6,0.1474609375
arm_bf16,trainer/grad_norm/mean,7,0.1337890625
arm_bf16,trainer/grad_norm/mean,8,0.1796875
arm_bf16,trainer/grad_norm/mean,9,0.095703125
arm_bf16,trainer/grad_norm/mean,10,0.1298828125
arm_bf16,rollout_reward/_mean,1,0.09375
arm_bf16,rollout_reward/_mean,2,0.046875
arm_bf16,rollout_reward/_mean,3,0.015625
arm_bf16,rollout_reward/_mean,4,0.1875
arm_bf16,rollout_reward/_mean,5,0.125
arm_bf16,rollout_reward/_mean,6,0.125
arm_bf16,rollout_reward/_mean,7,0.0625
arm_bf16,rollout_reward/_mean,8,0.125
arm_bf16,rollout_reward/_mean,9,0.03125
arm_bf16,rollout_reward/_mean,10,0.171875
arm_bf16,trainer/entropy/mean,1,0.2245129942893982
arm_bf16,trainer/entropy/mean,2,0.3515290319919586
arm_bf16,trainer/entropy/mean,3,0.367784321308136
arm_bf16,trainer/entropy/mean,4,0.2571989595890045
arm_bf16,trainer/entropy/mean,5,0.30201733112335205
arm_bf16,trainer/entropy/mean,6,0.20121918618679047
arm_bf16,trainer/entropy/mean,7,0.2463671714067459
arm_bf16,trainer/entropy/mean,8,0.31236347556114197
arm_bf16,trainer/entropy/mean,9,0.2018045336008072
arm_bf16,trainer/entropy/mean,10,0.3032872974872589
arm_bf16,bit_wise/logprob_diff/mean,1,-0.0006038752035237849
arm_bf16,bit_wise/logprob_diff/mean,2,-0.0008908075396902859
arm_bf16,bit_wise/logprob_diff/mean,3,-0.0009831520728766918
arm_bf16,bit_wise/logprob_diff/mean,4,-0.0005064079887233675
arm_bf16,bit_wise/logprob_diff/mean,5,-0.0007254985393956304
arm_bf16,bit_wise/logprob_diff/mean,6,-0.0007975720218382776
arm_bf16,bit_wise/logprob_diff/mean,7,-0.0006706005078740418
arm_bf16,bit_wise/logprob_diff/mean,8,-0.0007103839889168739
arm_bf16,bit_wise/logprob_diff/mean,9,-0.000614746124483645
arm_bf16,bit_wise/logprob_diff/mean,10,-0.00046010667574591935
arm_bf16,loss/ratio_clipped_frac,1,0.002942749997600913
arm_bf16,loss/ratio_clipped_frac,2,0.003584957914426923
arm_bf16,loss/ratio_clipped_frac,3,0.00392387667670846
arm_bf16,loss/ratio_clipped_frac,4,0.00253702187910676
arm_bf16,loss/ratio_clipped_frac,5,0.0033388601150363684
arm_bf16,loss/ratio_clipped_frac,6,0.002777267247438431
arm_bf16,loss/ratio_clipped_frac,7,0.003485573222860694
arm_bf16,loss/ratio_clipped_frac,8,0.003646945348009467
arm_bf16,loss/ratio_clipped_frac,9,0.0026498916558921337
arm_bf16,loss/ratio_clipped_frac,10,0.002905402099713683
arm_mxfp8_e2e,loss/mean,1,-0.0015423409640789032
arm_mxfp8_e2e,loss/mean,2,0.018218321725726128
arm_mxfp8_e2e,loss/mean,3,0.0
arm_mxfp8_e2e,loss/mean,4,0.02288816310465336
arm_mxfp8_e2e,loss/mean,5,0.021819505840539932
arm_mxfp8_e2e,loss/mean,6,0.009060025215148926
arm_mxfp8_e2e,loss/mean,7,0.01634296402335167
arm_mxfp8_e2e,loss/mean,8,-0.024014420807361603
arm_mxfp8_e2e,loss/mean,9,-0.013162923976778984
arm_mxfp8_e2e,loss/mean,10,0.02460280992090702
arm_mxfp8_e2e,trainer/grad_norm/mean,1,0.0625
arm_mxfp8_e2e,trainer/grad_norm/mean,2,0.0517578125
arm_mxfp8_e2e,trainer/grad_norm/mean,3,0.0
arm_mxfp8_e2e,trainer/grad_norm/mean,4,0.12353515625
arm_mxfp8_e2e,trainer/grad_norm/mean,5,0.181640625
arm_mxfp8_e2e,trainer/grad_norm/mean,6,0.1669921875
arm_mxfp8_e2e,trainer/grad_norm/mean,7,0.150390625
arm_mxfp8_e2e,trainer/grad_norm/mean,8,0.162109375
arm_mxfp8_e2e,trainer/grad_norm/mean,9,0.0771484375
arm_mxfp8_e2e,trainer/grad_norm/mean,10,0.1220703125
arm_mxfp8_e2e,rollout_reward/_mean,1,0.03125
arm_mxfp8_e2e,rollout_reward/_mean,2,0.015625
arm_mxfp8_e2e,rollout_reward/_mean,3,0.0
arm_mxfp8_e2e,rollout_reward/_mean,4,0.09375
arm_mxfp8_e2e,rollout_reward/_mean,5,0.140625
arm_mxfp8_e2e,rollout_reward/_mean,6,0.140625
arm_mxfp8_e2e,rollout_reward/_mean,7,0.046875
arm_mxfp8_e2e,rollout_reward/_mean,8,0.109375
arm_mxfp8_e2e,rollout_reward/_mean,9,0.03125
arm_mxfp8_e2e,rollout_reward/_mean,10,0.125
arm_mxfp8_e2e,trainer/entropy/mean,1,0.222249835729599
arm_mxfp8_e2e,trainer/entropy/mean,2,0.3386599123477936
arm_mxfp8_e2e,trainer/entropy/mean,3,0.3770774006843567
arm_mxfp8_e2e,trainer/entropy/mean,4,0.2774907052516937
arm_mxfp8_e2e,trainer/entropy/mean,5,0.311737596988678
arm_mxfp8_e2e,trainer/entropy/mean,6,0.2069096863269806
arm_mxfp8_e2e,trainer/entropy/mean,7,0.25805503129959106
arm_mxfp8_e2e,trainer/entropy/mean,8,0.31318801641464233
arm_mxfp8_e2e,trainer/entropy/mean,9,0.20846731960773468
arm_mxfp8_e2e,trainer/entropy/mean,10,0.2931942045688629
arm_mxfp8_e2e,bit_wise/logprob_diff/mean,1,-0.001085845404304564
arm_mxfp8_e2e,bit_wise/logprob_diff/mean,2,-0.0009393248474225402
arm_mxfp8_e2e,bit_wise/logprob_diff/mean,3,-0.001009891158901155
arm_mxfp8_e2e,bit_wise/logprob_diff/mean,4,-0.0007015841547399759
arm_mxfp8_e2e,bit_wise/logprob_diff/mean,5,-0.0010926371905952692
arm_mxfp8_e2e,bit_wise/logprob_diff/mean,6,-0.0007463081274181604
arm_mxfp8_e2e,bit_wise/logprob_diff/mean,7,-0.0006769010797142982
arm_mxfp8_e2e,bit_wise/logprob_diff/mean,8,-0.0014865670818835497
arm_mxfp8_e2e,bit_wise/logprob_diff/mean,9,-0.0009174317819997668
arm_mxfp8_e2e,bit_wise/logprob_diff/mean,10,-0.000820690649561584
arm_mxfp8_e2e,loss/ratio_clipped_frac,1,0.005276618525385857
arm_mxfp8_e2e,loss/ratio_clipped_frac,2,0.006488321349024773
arm_mxfp8_e2e,loss/ratio_clipped_frac,3,0.0069819302298128605
arm_mxfp8_e2e,loss/ratio_clipped_frac,4,0.00500077148899436
arm_mxfp8_e2e,loss/ratio_clipped_frac,5,0.006277985405176878
arm_mxfp8_e2e,loss/ratio_clipped_frac,6,0.005104056093841791
arm_mxfp8_e2e,loss/ratio_clipped_frac,7,0.006092685740441084
arm_mxfp8_e2e,loss/ratio_clipped_frac,8,0.006713279988616705
arm_mxfp8_e2e,loss/ratio_clipped_frac,9,0.004339176695793867
arm_mxfp8_e2e,loss/ratio_clipped_frac,10,0.0060545895248651505
arm_mxfp8_hp,loss/mean,1,0.01647205464541912
arm_mxfp8_hp,loss/mean,2,0.037828512489795685
arm_mxfp8_hp,loss/mean,3,0.0026340363547205925
arm_mxfp8_hp,loss/mean,4,-0.016270173713564873
arm_mxfp8_hp,loss/mean,5,0.006442179903388023
arm_mxfp8_hp,loss/mean,6,0.028115693479776382
arm_mxfp8_hp,loss/mean,7,0.01887599751353264
arm_mxfp8_hp,loss/mean,8,0.01276178564876318
arm_mxfp8_hp,loss/mean,9,-0.0013148938305675983
arm_mxfp8_hp,loss/mean,10,0.012777837924659252
arm_mxfp8_hp,trainer/grad_norm/mean,1,0.10888671875
arm_mxfp8_hp,trainer/grad_norm/mean,2,0.109375
arm_mxfp8_hp,trainer/grad_norm/mean,3,0.1337890625
arm_mxfp8_hp,trainer/grad_norm/mean,4,0.12060546875
arm_mxfp8_hp,trainer/grad_norm/mean,5,0.14453125
arm_mxfp8_hp,trainer/grad_norm/mean,6,0.115234375
arm_mxfp8_hp,trainer/grad_norm/mean,7,0.14453125
arm_mxfp8_hp,trainer/grad_norm/mean,8,0.1552734375
arm_mxfp8_hp,trainer/grad_norm/mean,9,0.07763671875
arm_mxfp8_hp,trainer/grad_norm/mean,10,0.12109375
arm_mxfp8_hp,rollout_reward/_mean,1,0.078125
arm_mxfp8_hp,rollout_reward/_mean,2,0.078125
arm_mxfp8_hp,rollout_reward/_mean,3,0.046875
arm_mxfp8_hp,rollout_reward/_mean,4,0.0625
arm_mxfp8_hp,rollout_reward/_mean,5,0.09375
arm_mxfp8_hp,rollout_reward/_mean,6,0.125
arm_mxfp8_hp,rollout_reward/_mean,7,0.046875
arm_mxfp8_hp,rollout_reward/_mean,8,0.078125
arm_mxfp8_hp,rollout_reward/_mean,9,0.0625
arm_mxfp8_hp,rollout_reward/_mean,10,0.15625
arm_mxfp8_hp,trainer/entropy/mean,1,0.21787865459918976
arm_mxfp8_hp,trainer/entropy/mean,2,0.3227980136871338
arm_mxfp8_hp,trainer/entropy/mean,3,0.3714350163936615
arm_mxfp8_hp,trainer/entropy/mean,4,0.25813326239585876
arm_mxfp8_hp,trainer/entropy/mean,5,0.3132628798484802
arm_mxfp8_hp,trainer/entropy/mean,6,0.21175703406333923
arm_mxfp8_hp,trainer/entropy/mean,7,0.26251816749572754
arm_mxfp8_hp,trainer/entropy/mean,8,0.2991766929626465
arm_mxfp8_hp,trainer/entropy/mean,9,0.22139091789722443
arm_mxfp8_hp,trainer/entropy/mean,10,0.2943001687526703
arm_mxfp8_hp,bit_wise/logprob_diff/mean,1,-0.0008529252372682095
arm_mxfp8_hp,bit_wise/logprob_diff/mean,2,-0.0009724640985950828
arm_mxfp8_hp,bit_wise/logprob_diff/mean,3,-0.0008338554762303829
arm_mxfp8_hp,bit_wise/logprob_diff/mean,4,-0.0009199376218020916
arm_mxfp8_hp,bit_wise/logprob_diff/mean,5,-0.0008763343212194741
arm_mxfp8_hp,bit_wise/logprob_diff/mean,6,-0.0010448883986100554
arm_mxfp8_hp,bit_wise/logprob_diff/mean,7,-0.001109258970245719
arm_mxfp8_hp,bit_wise/logprob_diff/mean,8,-0.0007426664815284312
arm_mxfp8_hp,bit_wise/logprob_diff/mean,9,-0.0004021837085019797
arm_mxfp8_hp,bit_wise/logprob_diff/mean,10,-0.0010187443112954497
arm_mxfp8_hp,loss/ratio_clipped_frac,1,0.00570133188739419
arm_mxfp8_hp,loss/ratio_clipped_frac,2,0.006450016982853413
arm_mxfp8_hp,loss/ratio_clipped_frac,3,0.00645033735781908
arm_mxfp8_hp,loss/ratio_clipped_frac,4,0.004885412752628326
arm_mxfp8_hp,loss/ratio_clipped_frac,5,0.006124689243733883
arm_mxfp8_hp,loss/ratio_clipped_frac,6,0.005300789140164852
arm_mxfp8_hp,loss/ratio_clipped_frac,7,0.00668818736448884
arm_mxfp8_hp,loss/ratio_clipped_frac,8,0.007141623646020889
arm_mxfp8_hp,loss/ratio_clipped_frac,9,0.0043166643008589745
arm_mxfp8_hp,loss/ratio_clipped_frac,10,0.00651586102321744
arm_mxfp8_deq,loss/mean,1,0.001304255798459053
arm_mxfp8_deq,loss/mean,2,0.0243084654211998
arm_mxfp8_deq,loss/mean,3,-0.020300358533859253
arm_mxfp8_deq,loss/mean,4,-0.003975501284003258
arm_mxfp8_deq,loss/mean,5,0.006064586341381073
arm_mxfp8_deq,loss/mean,6,0.007098448928445578
arm_mxfp8_deq,loss/mean,7,0.0207710862159729
arm_mxfp8_deq,loss/mean,8,-0.009812626987695694
arm_mxfp8_deq,loss/mean,9,-0.0013412744738161564
arm_mxfp8_deq,loss/mean,10,0.007899325340986252
arm_mxfp8_deq,trainer/grad_norm/mean,1,0.060546875
arm_mxfp8_deq,trainer/grad_norm/mean,2,0.046630859375
arm_mxfp8_deq,trainer/grad_norm/mean,3,0.091796875
arm_mxfp8_deq,trainer/grad_norm/mean,4,0.10693359375
